Date,Price,Futures_Price,Basis,F_theoretical,Mispricing,Gross_Arb_Profit,Cost_of_Carry,Net_Arb_Profit,Arb_Opportunity,Spot_Return_1d,Fut_Return_1d,Spot_Vol_5d,Month,Lagged_Basis_5d,Predicted,Correct
2024-04-22,1.64,1.7910000085830688,0.15100000858306895,1.6482205342094174,0.14277947437365146,0.15100000858306895,0.009566666666666664,0.14143334191640228,1,0.14685314685314688,0.022260293895810745,0.10802777420671192,4,0.26679998683929484,1,1
2024-04-23,1.59,1.812000036239624,0.22200003623962394,1.5979699081664476,0.21403012807317645,0.22200003623962394,0.009275,0.21272503623962394,1,-0.030487804878048697,0.011725308518099498,0.08396427811907028,4,0.2407999916076664,1,1
2024-04-24,1.6,1.652999997138977,0.05299999713897696,1.6080200333750416,0.04497996376393543,0.05299999713897696,0.009333333333333332,0.04366666380564363,0,0.0062893081761006275,-0.08774836419463539,0.08093207028154356,4,0.21480000019073522,1,0
2024-04-25,1.46,1.6380000114440918,0.17800001144409183,1.4673182804547253,0.17068173098936645,0.17800001144409183,0.008516666666666665,0.16948334477742516,1,-0.08750000000000002,-0.009074401525013487,0.09289779330025312,4,0.18299999713897738,1,1
2024-04-26,1.4,1.6139999628067017,0.21399996280670175,1.4070175292031613,0.2069824336035404,0.21399996280670175,0.008166666666666666,0.2058332961400351,1,-0.04109589041095896,-0.014652044242802642,0.10256705123994021,4,0.18520000553131138,1,1
2024-04-29,1.55,2.0299999713897705,0.47999997138977046,1.5577694073320716,0.4722305640576989,0.47999997138977046,0.009041666666666667,0.4709583047231038,1,0.1071428571428572,0.25774474483856635,0.0868907359852385,4,0.16360000324249305,0,0
2024-04-30,1.68,1.9910000562667847,0.31100005626678473,1.6884210350437936,0.3025790212229911,0.31100005626678473,0.009799999999999998,0.30120005626678475,1,0.08387096774193536,-0.019211781119526705,0.11099549540434753,4,0.22939999580383336,1,1
2024-05-01,1.63,1.9320000410079956,0.3020000410079957,1.6381704090008236,0.29382963200717205,0.3020000410079957,0.009508333333333332,0.29249170767466237,1,-0.029761904761904767,-0.029633356901765606,0.11588787684678914,5,0.2471999998092655,1,1
2024-05-02,1.66,2.0350000858306885,0.37500008583068856,1.6683207846266055,0.366679301204083,0.37500008583068856,0.009683333333333332,0.36531675249735523,1,0.01840490797546024,0.05331265146814079,0.114149025401257,5,0.29700000858306924,1,1
2024-05-03,1.67,2.1419999599456787,0.4719999599456788,1.6783709098351995,0.46362905011047917,0.4719999599456788,0.009741666666666666,0.46225829327901213,1,0.006024096385542244,0.05257978850222633,0.05263078946830602,5,0.3364000234603886,1,1
2024-05-06,1.88,2.194999933242798,0.31499993324279796,1.8894235392156737,0.3055763940271241,0.31499993324279796,0.010966666666666664,0.3040332665761313,1,0.12574850299401197,0.02474321862193829,0.10014988766872164,5,0.388000022888184,1,1
2024-05-07,1.95,2.2070000171661377,0.25700001716613774,1.9597744156758319,0.2472256014903058,0.25700001716613774,0.011374999999999998,0.24562501716613774,1,0.037234042553191626,0.005467008787381378,0.14618481453303517,5,0.3550000152587895,1,1
2024-05-08,2.01,2.187000036239624,0.17700003623962424,2.0200751669273957,0.16692486931222827,0.17700003623962424,0.011724999999999998,0.16527503623962425,1,0.03076923076923066,-0.009062066502470767,0.16102794788501262,5,0.3442000074386601,1,1
2024-05-09,2.03,2.3010001182556152,0.27100011825561543,2.040175417344584,0.2608247009110314,0.27100011825561543,0.011841666666666664,0.2591584515889488,1,0.00995024875621886,0.05212623691218843,0.14532721699688186,5,0.3192000064849858,1,1
2024-05-10,2.14,2.252000093460083,0.11200009346008288,2.150726794639118,0.10127329882096481,0.11200009346008288,0.012483333333333332,0.09951676012674955,0,0.05418719211822687,-0.021295098773258192,0.09679876032294715,5,0.2984000129699712,1,0
2024-05-13,2.11,2.38100004196167,0.27100004196167005,2.120576419013336,0.2604236229483341,0.27100004196167005,0.01230833333333333,0.25869170862833674,1,-0.014018691588785215,0.05728239038542182,0.07694153624707285,5,0.226400039672852,1,1
2024-05-14,2.14,2.3440001010894775,0.20400010108947741,2.150726794639118,0.19327330645035934,0.20400010108947741,0.012483333333333332,0.19151676775614407,1,0.014218009478673022,-0.015539664099169292,0.0618869937875467,5,0.2176000614166264,1,1
2024-05-15,2.12,2.4159998893737793,0.2959998893737792,2.13062654422193,0.2853733451518492,0.2959998893737792,0.012366666666666666,0.2836332227071125,1,-0.009345794392523366,0.030716631902377722,0.04549725266496836,5,0.20700007820129435,1,1
2024-05-16,2.32,2.494999885559082,0.1749998855590822,2.3316290483938102,0.1633708371652718,0.1749998855590822,0.013533333333333331,0.16146655222574885,1,0.09433962264150941,0.03269867541499738,0.08706319543906212,5,0.23080004882812535,1,1
2024-05-17,2.44,2.625999927520752,0.185999927520752,2.4522305508969384,0.17376937662381353,0.185999927520752,0.014233333333333332,0.1717665941874187,1,0.051724137931034475,0.05250502924665068,0.14724129855465387,5,0.2116000022888187,0,0
2024-05-20,2.52,2.750999927520752,0.23099992752075194,2.5326315525656904,0.21836837495506156,0.23099992752075194,0.014699999999999998,0.21629992752075194,1,0.032786885245901676,0.047600915251362785,0.17753872816954963,5,0.22639996910095253,0,0
2024-05-21,2.52,2.6710000038146973,0.15100000381469725,2.5326315525656904,0.13836845124900687,0.15100000381469725,0.014699999999999998,0.13630000381469726,1,0.0,-0.029080307456842425,0.1687601848780147,5,0.2183999462127689,1,1
2024-05-22,2.51,2.8420000076293945,0.33200000762939474,2.522581427357096,0.3194185802722984,0.33200000762939474,0.014641666666666664,0.3173583409627281,1,-0.003968253968254065,0.0640209672671197,0.08613942186979297,5,0.20779992675781286,1,1
2024-05-23,2.64,2.6570000648498535,0.01700006484985339,2.6532330550688186,0.0037670097810349468,0.01700006484985339,0.015399999999999999,0.0016000648498533925,0,0.05179282868525914,-0.06509498321003016,0.0719722168622209,5,0.214999950408936,0,1
2024-05-24,2.22,2.5199999809265137,0.2999999809265135,2.23112779630787,0.2888721846186435,0.2999999809265135,0.01295,0.28704998092651346,1,-0.15909090909090906,-0.05156194225801858,0.15594870951714299,5,0.18339998626709023,1,1
2024-05-28,2.29,2.5899999141693115,0.2999999141693115,2.3014786727680283,0.2885212414012832,0.2999999141693115,0.013358333333333331,0.2866415808359782,1,0.03153153153153143,0.02777775149707007,0.17472836060600458,5,0.2061999969482425,0,0
2024-05-29,2.2,2.493000030517578,0.29300003051757795,2.2110275458906825,0.2819724846268956,0.29300003051757795,0.012833333333333334,0.28016669718424464,1,-0.0393013100436681,-0.03745169377074831,0.19382982226701242,5,0.2199999942779544,1,1
2024-05-30,1.87,2.572000026702881,0.7020000267028808,1.87937341400708,0.692626612695801,0.7020000267028808,0.010908333333333332,0.6910916933695475,1,-0.15000000000000002,0.03168872652155619,0.2744631122756955,5,0.24839999961853057,1,1
2024-05-31,1.78,2.5869998931884766,0.8069998931884765,1.7889222871297337,0.7980776060587429,0.8069998931884765,0.010383333333333333,0.7966165598551432,1,-0.048128342245989386,0.00583198535375784,0.2301521236053669,5,0.3224000034332278,1,1
2024-06-03,2.55,2.75600004196167,0.2060000419616701,2.5627819281914723,0.1932181137701976,0.2060000419616701,0.014874999999999998,0.1911250419616701,1,0.4325842696629212,0.06532669337102326,0.31491268631171454,6,0.48039996910095245,1,1
2024-06-04,2.58,2.5859999656677246,0.005999965667724538,2.5929323038172547,-0.006932338149530093,0.005999965667724538,0.01505,-0.00905003433227546,0,0.011764705882353121,-0.06168362616313405,0.37152388886861715,6,0.4615999813079837,1,0
2024-06-05,2.27,2.756999969482422,0.48699996948242186,2.28137842235084,0.47562154713158167,0.48699996948242186,0.013241666666666665,0.4737583028157552,1,-0.12015503875968991,0.06612529237622922,0.373028149071971,6,0.4027999916076663,1,1
2024-06-06,2.3,2.821000099182129,0.5210000991821291,2.311528797976622,0.5094713012055068,0.5210000991821291,0.013416666666666664,0.5075834325154625,1,0.013215859030836885,0.023213685313069554,0.32098286558640626,6,0.44159997940063517,1,1
2024-06-07,2.46,2.9179999828338623,0.45799998283386234,2.4723308013141265,0.4456691815197358,0.45799998283386234,0.014349999999999998,0.44364998283386237,1,0.06956521739130439,0.03438492741629329,0.14166862743762804,6,0.40539999389648484,1,1
2024-06-10,2.61,2.9059998989105225,0.2959998989105226,2.623082679443036,0.28291721946748627,0.2959998989105226,0.015224999999999997,0.2807748989105226,1,0.060975609756097615,-0.004112434542129728,0.15598076804549177,6,0.33560001182556193,1,1
